"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Sutoh Y",GCST012141,2020-10-01,"Sci Rep","ALDH2 genotype modulates the association between alcohol consumption and AST/ALT ratio among middle-aged Japanese men: a genome-wide G × E interaction analysis.","Aspartate aminotransferase to alanine aminotransferase ratio x alcohol consumption interaction","alcohol consumption measurement, aspartate aminotransferase to alanine aminotransferase ratio",'-,"7856 East Asian","4388 East Asian",1,NA
"Yin B",GCST90134526,2022-07-11,"Front Psychiatry","Shared Genetics and Causality Between Decaffeinated Coffee Consumption and Neuropsychiatric Diseases: A Large-Scale Genome-Wide Cross-Trait Analysis and Mendelian Randomization Analysis.","Decaffeinated coffee consumption and/or alcohol consumption score","coffee consumption measurement, alcohol consumption measurement",'-,"451275 NR",'-,1,NA
"Ye J",GCST90101756,2021-12-07,"Addict Biol","Associations between electronic devices use and common mental traits: A gene-environment interaction model using the UK Biobank data.","Alcohol consumption x hours spent using computers interaction","lifestyle measurement, alcohol consumption measurement",'-,"488377 European",'-,21,NA
"Ye J",GCST90101760,2021-12-07,"Addict Biol","Associations between electronic devices use and common mental traits: A gene-environment interaction model using the UK Biobank data.","Alcohol consumption x playing computer games interaction","lifestyle measurement, alcohol consumption measurement",'-,"488377 European",'-,27,NA
"Ye J",GCST90101752,2021-12-07,"Addict Biol","Associations between electronic devices use and common mental traits: A gene-environment interaction model using the UK Biobank data.","Alcohol consumption x hours spent watching television interaction","lifestyle measurement, alcohol consumption measurement",'-,"488377 European",'-,42,NA
"Zhang W",GCST012366,2021-04-16,"Front Cell Dev Biol","Detecting Gene-Environment Interaction for Maternal Exposures Using Case-Parent Trios Ascertained Through a Case With Non-Syndromic Orofacial Cleft.","Orofacial cleft x maternal periconceptional alcohol use interaction (1df)","Oral cleft, alcohol consumption measurement",'-,"3300 European3759 Asian unspecified1530 Hispanic or Latin American",'-,1,NA
"Zhang W",GCST012363,2021-04-16,"Front Cell Dev Biol","Detecting Gene-Environment Interaction for Maternal Exposures Using Case-Parent Trios Ascertained Through a Case With Non-Syndromic Orofacial Cleft.","Orofacial cleft x maternal periconceptional alcohol use interaction (2df)","Oral cleft, alcohol consumption measurement",'-,"3300 European3759 Asian unspecified1530 Hispanic or Latin American",'-,1,NA
"Lin WY",GCST007617,2018-09-13,"Brief Bioinform","Polygenic approaches to detect gene-environment interactions when external information is unavailable.","Blood pressure x alcohol consumption interaction","blood pressure, alcohol consumption measurement",'-,"16543 East Asian",'-,0,NA
"Beaty TH",GCST001082,2011-05-26,"Genet Epidemiol","Evidence for gene-environment interaction in a genome wide study of nonsyndromic cleft palate.","Orofacial clefts (maternal alcohol consumption interaction)","alcohol consumption measurement, obsolete_orofacial clefting syndrome, cleft lip",'-,"57 African American or Afro-Caribbean, African unspecified, Other816 European777 Asian unspecified",'-,2,NA
"Siegert S",GCST001731,2012-11-02,"Hum Genet","Genome-wide investigation of gene-environment interactions in colorectal cancer.","Colorectal cancer (environment interaction)","smoking status measurement, colorectal cancer, alcohol consumption measurement, overweight body mass index status",'-,"314 European","1261 European",0,NA
"Kim Y",GCST011571,2020-02-11,"Genet Epidemiol","Genome-wide interaction study of single-nucleotide polymorphisms and alcohol consumption on blood pressure: The Ansan and Ansung study of the Korean Genome and Epidemiology Study (KoGES).","Blood pressure x alcohol consumption interaction","diastolic blood pressure, systolic blood pressure, alcohol consumption measurement",'-,"6176 East Asian","18708 East Asian",0,NA
"Jung HU",GCST012283,2021-03-02,"Sci Rep","Identification of genetic loci affecting body mass index through interaction with multiple environmental factors using structured linear mixed model.","BMI x environmental factors (including physical activity) interaction","household income, smoking status measurement, educational attainment, protein intake measurement, carbohydrate intake measurement, alcohol consumption measurement, physical activity measurement, body mass index, energy intake measurement",'-,"8155 East Asian",'-,7,NA
"Jung HU",GCST012282,2021-03-02,"Sci Rep","Identification of genetic loci affecting body mass index through interaction with multiple environmental factors using structured linear mixed model.","BMI x  environmental factors (excluding physical activity) interaction","household income, smoking status measurement, educational attainment, protein intake measurement, carbohydrate intake measurement, alcohol consumption measurement, body mass index, energy intake measurement",'-,"8155 East Asian",'-,11,NA
"Locke AE",GCST008673,2019-07-31,Nature,"Exome sequencing of Finnish isolates enhances rare-variant association power.","Cardiometabolic traits","ketone body measurement, alcohol consumption measurement, body mass index, linoleic acid measurement, glycerophospholipid measurement, fatty acid measurement, glomerular filtration rate, insulin measurement, BMI-adjusted fasting blood glucose measurement, body fat percentage, glutamine measurement, lipoprotein measurement, glycine measurement, 3-hydroxybutyric acid measurement, body height, pulse pressure measurement, leucine measurement, hip circumference, serum albumin measurement, valine measurement, waist circumference, omega-3 polyunsaturated fatty acid measurement, sphingomyelin measurement, total cholesterol measurement, C-reactive protein measurement, adiponectin measurement, high density lipoprotein cholesterol measurement, phenylalanine measurement, creatinine measurement, systolic blood pressure, histidine measurement, body weight, glucose measurement, vitamin D measurement, docosahexaenoic acid measurement, acetoacetate measurement, tyrosine measurement, isoleucine measurement, omega-6 polyunsaturated fatty acid measurement, acetate measurement, pyruvate measurement, waist-hip ratio, citrate measurement, alanine measurement, diastolic blood pressure, triglyceride measurement, very low density lipoprotein cholesterol measurement, glycoprotein measurement, low density lipoprotein cholesterol measurement, apolipoprotein A 1 measurement, fasting blood insulin measurement, intermediate density lipoprotein measurement, apolipoprotein B measurement",'-,"19292 European","24776 European",0,"FTP Download"
